flight,timestamp,altitude,latitude,longitude
AA101,1530270000,3.90E+04,5.39E+01,-1.45E+01
AA151,1530270000,3.60E+04,4.91E+01,-4.04E+00
AA198,1530270000,0.00E+00,3.98E+01,-7.28E+01
AA204,1530270000,0.00E+00,4.02E+01,-7.33E+01
AA209,1530270000,3.80E+04,6.08E+01,-2.98E+01
AA221,1530270000,3.30E+04,5.94E+01,-2.16E+01
AA25,1530270000,3.40E+04,5.50E+01,-2.01E+01
AA258,1530270000,0.00E+00,3.90E+01,-8.61E+00
AA291,1530270000,3.42E+04,5.30E+01,-2.35E+01
AA37,1530270000,3.60E+04,4.37E+01,-1.85E+01
AA45,1530270000,3.35E+04,5.21E+01,-2.26E+01
AA47,1530270000,4.00E+04,5.99E+01,-4.17E+01
AA51,1530270000,3.30E+04,5.22E+01,-2.87E+01
AA57,1530270000,3.30E+04,5.28E+01,-2.44E+01
AA67,1530270000,3.80E+04,4.40E+01,-2.41E+01
AA705,1530270000,3.80E+04,5.21E+01,-3.04E+01
AA71,1530270000,3.00E+04,5.57E+01,-4.26E+00
AA717,1530270000,3.80E+04,5.46E+01,-1.72E+01
AA723,1530270000,1.52E+04,5.37E+01,-6.96E+00
AA725,1530270000,3.80E+04,5.32E+01,-2.92E+01
AA731,1530270000,0.00E+00,5.15E+01,-4.52E-01
AA749,1530270000,4.36E+03,4.06E+01,-3.59E+00
AA751,1530270000,3.60E+04,5.41E+01,-4.49E+00
AA755,1530270000,3.80E+04,5.21E+01,-2.36E+01
AA786,1530270000,0.00E+00,1.27E+01,-7.21E+01
AA787,1530270000,0.00E+00,4.87E+01,-3.61E+00
AA96,1530270000,0.00E+00,4.04E+01,-7.37E+01
AA99,1530270000,4.00E+04,5.84E+01,-5.34E+01
BA117,1530270000,3.74E+04,5.09E+01,-3.84E+01
BA173,1530270000,3.31E+04,5.33E+01,-1.80E+00
BA174,1530270000,0.00E+00,4.05E+01,-7.34E+01
BA175,1530270000,3.61E+04,5.34E+01,-2.10E+01
BA177,1530270000,0.00E+00,5.15E+01,-5.88E-01
BA179,1530270000,0.00E+00,5.15E+01,-8.70E-01
BA185,1530270000,3.60E+04,5.46E+01,-8.54E+00
BA191,1530270000,0.00E+00,5.15E+01,-4.80E-01
BA2037,1530270000,6.61E+03,5.12E+01,-5.99E-01
BA207,1530270000,3.30E+04,5.26E+01,-9.35E+00
BA212,1530270000,0.00E+00,4.54E+01,-6.96E+01
BA2167,1530270000,3.80E+04,5.13E+01,-2.20E+01
BA217,1530270000,3.40E+04,5.26E+01,-5.44E+00
BA239,1530270000,0.00E+00,5.14E+01,-4.88E-01
BA244,1530270000,0.00E+00,-3.46E+01,-5.96E+01
BA249,1530270000,0.00E+00,5.16E+01,-4.58E-01
BA250,1530270000,0.00E+00,-3.37E+01,-7.08E+01
BA251,1530270000,1.09E+04,-3.28E+01,-7.08E+01
BA283,1530270000,3.40E+04,5.96E+01,-1.93E+01
BA285,1530270000,3.30E+04,5.35E+01,-2.31E+00
BA287,1530270000,0.00E+00,5.14E+01,-5.37E-01
BA295,1530270000,3.40E+04,5.42E+01,-1.14E+01
BA49,1530270000,0.00E+00,5.15E+01,-9.14E-01
BA53,1530270000,3.40E+04,6.34E+01,-2.16E+01
DL107,1530270000,3.20E+04,5.88E+01,-1.59E+01
DL109,1530270000,3.20E+04,4.25E+01,-1.66E+01
DL117,1530270000,3.30E+04,4.98E+01,-1.45E+01
DL118,1530270000,0.00E+00,4.23E+01,-7.10E+01
DL131,1530270000,3.40E+04,5.30E+01,-1.66E+01
DL133,1530270000,3.80E+04,6.06E+01,-3.50E+01
DL136,1530270000,0.00E+00,6.70E+01,-4.49E+01
DL141,1530270000,3.50E+04,4.90E+01,-2.00E+01
DL143,1530270000,3.60E+04,6.15E+01,-2.15E+01
DL154,1530270000,0.00E+00,4.00E+01,-7.22E+01
DL161,1530270000,3.30E+04,5.86E+01,-1.89E+01
DL17,1530270000,3.80E+04,5.38E+01,-1.02E+01
DL177,1530270000,2.82E+04,5.42E+01,-9.73E+00
DL179,1530270000,3.40E+04,6.24E+01,-2.64E+01
DL195,1530270000,3.10E+04,4.48E+01,-1.25E+01
DL209,1530270000,0.00E+00,5.59E+01,-3.49E+00
DL210,1530270000,3.20E+04,4.38E+01,-2.74E+01
DL229,1530270000,3.32E+04,4.88E+01,-2.18E+01
DL23,1530270000,3.40E+04,5.39E+01,-2.29E+01
DL231,1530270000,3.20E+04,4.98E+01,-5.86E+00
DL246,1530270000,0.00E+00,6.40E+01,-2.26E+01
DL259,1530270000,3.60E+04,5.23E+01,-5.88E+00
DL270,1530270000,3.50E+04,4.36E+01,-4.53E+01
DL31,1530270000,0.00E+00,5.15E+01,-4.61E-01
DL35,1530270000,3.60E+04,5.96E+01,-2.18E+01
DL4,1530270000,0.00E+00,4.22E+01,-7.34E+01
DL400,1530270000,3.50E+04,4.98E+01,-1.16E+01
DL404,1530270000,0.00E+00,4.07E+01,-7.33E+01
DL405,1530270000,3.60E+04,4.77E+01,-2.35E+01
DL407,1530270000,0.00E+00,4.07E+01,-7.37E+01
DL418,1530270000,0.00E+00,4.17E+01,-7.33E+01
DL419,1530270000,3.51E+04,4.88E+01,-2.12E+01
DL422,1530270000,0.00E+00,4.06E+01,-7.34E+01
DL43,1530270000,3.09E+04,5.44E+01,-1.92E+01
DL47,1530270000,3.60E+04,5.38E+01,-2.37E+01
DL478,1530270000,3.57E+04,1.02E+01,-2.32E+00
DL49,1530270000,3.50E+04,5.46E+01,-1.82E+01
DL51,1530270000,3.20E+04,5.32E+01,-6.24E+00
DL54,1530270000,3.88E+04,2.10E+01,-2.39E+01
DL59,1530270000,3.50E+04,5.39E+01,-2.36E+01
DL63,1530270000,3.21E+04,4.66E+01,-1.48E+01
DL71,1530270000,3.45E+04,5.12E+01,-4.29E+01
